metric,observed
students_before,55.0
students_after,45.0
dropouts,10.0
retained_students,45.0
section_midterm_anova_p,0.7349953162884613
section_final_anova_p,0.4152059721377719
prompt_training_anova_p,0.001739963159808267
prompt_score_grade_midterm_r,0.2887452333645937
prompt_score_grade_midterm_p,0.0057794973490692325
prompt_score_grade_midterm_n,90.0
prompt_score_grade_final_r,0.45083562044288217
prompt_score_grade_final_p,8.228481058326457e-06
prompt_score_grade_final_n,90.0
prompt_mean_group_A,2.9102564102564106
prompt_mean_group_B,2.955128205128205
prompt_mean_group_C,3.570175438596491
prompt_score_locus_control_before_r,-0.5690591822809916
prompt_score_locus_control_before_p,4.5232694869140346e-05
prompt_score_locus_control_before_n,45.0
