group,assignment,mean,ci_low,ci_high,n
A,1,2.8461538461538463,2.4615384615384617,3.1538461538461537,13
A,2,3.4444444444444446,3.111111111111111,3.7777777777777777,9
A,3,2.3,1.7,2.8,10
A,4,3.0,2.5833333333333335,3.4166666666666665,12
B,1,2.909090909090909,2.0,3.727272727272727,11
B,2,2.6666666666666665,2.111111111111111,3.2222222222222223,9
B,3,3.0833333333333335,2.4166666666666665,3.75,12
B,4,3.0833333333333335,2.5,3.668749999999998,12
C,1,3.8947368421052633,3.3684210526315788,4.421052631578948,19
C,2,3.1,2.5,3.8,10
C,3,3.3333333333333335,2.75,3.9166666666666665,12
C,4,3.933333333333333,3.4,4.466666666666667,15
